CODE	EN	FR	PT	
pl_gameover	Game Over	Terminé	 	 
pl_panel_info	Panel info: row: %1 col: %2	Info grille : ligne: %1 colonne: %2	 	 
vs	vs	vs	 	 
rp_no_replay	I don't have a vs replay :(	Je n'ai pas de replay :(	 	 
ss_p1	Player 1	Joueur 1	 	 
ss_p2	Player 2	Joueur 2	 	 
ss_p_wins	%1 wins	%1 gagne	 	 
ss_anonymous	anonymous	anonyme	 	 
rp_no_endless	I don't have an endless replay :(	Je n'ai pas de replay infini :(	 	 
rp_endless	endless	infini	 	 
rp_score	You scored %1 in %2	Vous avez fait %1 en %2	 	 
rp_no_puzzle	I don't have a puzzle replay :(	Je n'ai pas de replay puzzle :(	 	 
pl_you_win	You win!	Vous avez gagné !	 	 
pl_you_lose	You lose :(	Vous avez perdu :(	 	 
pz_puzzles	Puzzles:	Puzzles :	 	 
pz_info	Note: you may place new custom puzzles in  %appdata%\Panel Attack\puzzles  See the README and example puzzle set there for instructions	Note: vous pouvez placer des puzzles personnalisés dans :  %appdata%\Panel Attack\puzzles  Lisez le fichier README, et alle voir les exemples. 	 	 
up	Up	Haut	 	 
down	Down	Bas	 	 
left	Left	Gauche	 	 
right	Right	Droite	 	 
player	Player	Joueur	 	 
cf_none	none 	rien	 	 
cf_all_keys	Set all keys	Définir toutes les touches	 	 
op_copy_files	Hold on.  Copying an example folder to make this easier...  This may take a few seconds or maybe even a minute or two.  Don't worry if the window goes inactive or "not responding"	Veuillez patientez, nous copions les fichiers exemples.  Cette opération peut quelques secondes à 2 min.  La fenêtre peut devenir inactive et ne plus répondre. 	 	 
op_vol	Master Volume	Volume Global	 	 
op_vol_sfx	SFX Volume	Volume Effets	 	 
op_vol_music	Music Volume	Volume Musique	 	 
op_debug	Debug Mode	Mode Debug	 	 
op_replay_public	Save replays publicly	Sauvegarder les replays publiquement	 	 
op_graphic	Graphics set	Graphismes personnalisés	 	 
op_panels	Panels set	Blocs personnalisés	 	 
op_about_graphics	About custom graphics	Instructions pour les graphismes personnaliés 	 	 
op_sonds	Sounds set	Sons personnalisés	 	 
op_about_sounds	About custom sounds	Instructions pour les sons personnaliés 	 	 
op_countdown	Ready countdown	Compte à rebours avant une partie	 	 
op_fps	Show FPS	Afficher les FPS 	 	 
op_use_assets	Use panels from assets folder	Utiliser les blocs du dossier graphisme	 	 
op_default_char	Use default characters	Utiliser les personnages par défaut	 	 
op_music_delay	Danger music change-back delay	Délai du changement de la musique en mode danger	 	 
op_about_chars	About custom characters	Instructions pour les personnages personnalisés	 	 
op_analytics	Enable analytics	Activer les statistiques	 	 
op_save	writing config to file...	sauvegarde de la configuration...	 	 
op_reload_chars	reloading characters...	rechargement des personnages...	 	 
op_reload_graphics	reloading graphics...	rechargement des graphismes...	 	 
op_reload_panels	reloading panels...	rechargement des blocs...	 	 
op_reload_sounds	reloading sounds...	rechargement des sons...	 	 
op_reload_analytics	reloading analytics...	rechargement des statistiques...	 	 
op_enter_name	Enter your name:	Entrez votre pseudo :	 	 
op_music_load	Loading required sounds... (this may take a while)	Chargement des sons nécessaires... (cela peut prendre un certain temps)	 	 
op_music_current	Currently playing: 	Music actuel : 	 	 
op_music_intro	Playing the intro	Joue l'intro	 	 
op_music_loop	Playing main loop	Joue la boucle	 	 
op_language	Language	Langue	 	 
op_music_nav	%1 and %2 to navigate songs %3 to leave	%1 et %2 pour naviguer entre les musiques %3 pour quitter	 	 
nt_ver_err	PLEASE DOWNLOAD the latest version of the game from #welcome-getting-started at the TetrisAttackOnline Discord http://discord.panelattack.com	VOUS DEVEZ TELECHARGER la dernière version du jeu sur le discord TetrisAttackOnline http://discord.panelattack.com dans #welcome-getting-started	 	 
page	Page	Page		
panels	Panels	Blocs		
ready	Ready	Prêt		
random	Random	Aléatoire		
leave	Leave	Quitter		
pl_moves	Moves: %1	Déplacements : %1		
pl_frame	Frame: %1	Frame : %1		
pl_score	Score: %1	Score : %1		
pl_speed	Speed: %1	Vitesse : %1		
pl_frame	Frame: %1	Frame : %1		
pl_time	Time: %1	Temps : %1		
pl_level	Level: %1	Niveau : %1		
pl_health	Health: %1	Vie : %1		
pl_shake	Shake: %1	Délai secousse : %1		
pl_stop	Stop: %1	Délai stop : %1		
pl_pre_stop	Pre stop: %1	Déali pré stop : %1		
pl_cleared	cleared: %1	détruit : %1		
pl_metal	metal q: %1	blocs métal : %1		
