CODE,Context for translation,EN,FR,PT,JP,ES,GE,IT,TH
lb_used_name,,"Error: name is taken :<


If you had just left the server,
it may not have realized it yet, try joining again.


This can also happen if you have two
instances of Panel Attack open.
Press Swap or Back to continue.","Erreur : ce pseudo est déjà pris :<


Si vous venez de quitter le serveur,
il n'est peut être pas encore à jour, réessayez.


Cela peut aussi arriver si vous avez
lancé deux instances du jeu.


Appuyer sur Valider ou Retour pour continuer.","Erro: Apelido já utilizado :<


Se você acabou de sair do servidor,
talvez não tenha reparado, tente entrar novamente.


Isso também pode acontecer se você tiver duas
instâncias do Panel Attack abertas.
Pressione Trocar ou Voltar para continuar.","エラー：ユーザー名が使用中です ・へ・


ログアウトしたばかりの場合、
サーバーはまだ追いついていない可能性があります。
もう一度ログインしてみて下さい。


これは、
Panel Attackが同時に2回起動されている場合発生する可能性もあります。


入れ替えボタン、またはもどるボタンを押して下さい。","Error：El nombre ya está siendo usado :<


Si te fuiste del servidor,
puede que este no se haya dado cuenta, intenta unirte de nuevo.


Esto también puede ocurrir si tienes dos
Instancias abiertas del juego.
Pulsa ""Cambiar"" o ""Volver"" para continuar.","Fehler: Dieser Name wird bereits verwendet :<

Wenn du die Lobby gerade erst verlassen hast, könnte es sein, dass der Server dich noch nicht abgemeldet hat. Versuche es bitte erneut.

Das kann ebenfalls passieren, wenn du Panel Attack mehrfach geöffnet hast.


Drücke die Tausch-Taste (A/B) oder die Esc-Taste, um fortzufahren.","Errore: nome già in uso :<


Se hai appena lasciato il server,
questo potrebbe non averlo ancora realizzato, prova ad accedere di nuovo.


Questo può anche succedere se hai 
due istanze di Panel Attack aperte.
Premi ""Swap"" o Indietro per continuare.","Error: ชื่อนี้มีคนใช้แล้ว

ถ้าคุณเพิ่งออกจาก server ไป บางที server อาจยังจำค่าเก่าอยู่ กรุณาลองเข้าสู่ server อีกครั้ง

หรืออาจเกิดจากการเปิด Panel Attack สอง instance พร้อมกัน

กดปุ่ม Swap หรือ Back เพื่อดำเนินการต่อ"
lb_user_new,,"Welcome, new user: %1","Bienvenue, nouvel utilisateur : %1","Bem-vindo(a), novo usuário(a): %1",ようこそ、新しいユーザー：%1,Bienvenido: nuevo usuario %1,"Willkommen, neuer Spieler %1","Benvenuto, nuovo utente: %1","ยินดีต้อนรับ, new user: %1"
lb_user_update,,"Welcome, your username has been updated. 

Old name:  ""%1""
New name:  ""%2""","Bienvenue, votre pseudo a été mis à jour.

Ancien:  ""%1""
Nouveau:  ""%2""","Bem-vindo(a), seu apelido foi atualizado.

Nome antigo: ""%1""
Novo nome: ""%2""","ようこそ、ユーザー名が更新されました。

以前のユーザー名： ""%1""
新しいユーザー名： ""%2""","Bienvenido, tu nombre de usuario fue actualizado.

Nombre antiguo: ""%1""
Nombre nuevo: ""%2""","Willkommen, dein Anzeigename wurde aktualisiert.

Alter Name: ""%1""
Neuer Name: ""%2""","Benvenuto, il tuo nome utente è stato aggiornato.

Vecchio nome: ""%1""
Nuovo nome: ""%2""","ยินดีต้อนรับ, username ของคุณได้ถูกอัพเดทแล้ว

ชื่อเก่า: ""%1""

ชื่อใหม่: ""%2"""
lb_welcome_back,,"Welcome back, %1","Vous êtes de retour, %1","Bem-vindo(a) de volta, %1",おかえりなさい、%1,"Bienvenido de vuelta, %1","Willkommen zurück, %1","Bentornato, %1","ยินดีต้อนรับ, %1"
lb_you,,You,Vous,Você,あなた,Tú,Du,Tu,คุณ
ld_puzzles,,Copying puzzles readme...,Copie du fichier readme des puzzles...,Copiando leia-me de quebra-cabeças...,パズルのREADMEをコピーしています...,"Copiando el archivo ""readme"" de puzzles",Kopiere README für Puzzles...,Copia dell'archivio readme dei puzzle...,กำลังคัดลอก puzzles readme...
ld_replay,,Loading replays...,Chargement des replays...,Carregando replays...,リプレイを読み込みしています…,Cargando repeticiones...,Lade Replays...,Caricamento dei replay...,กำลังโหลดรีเพลย์
ld_theme,,Loading theme...,Chargement du thème...,Carregando temas...,テーマを読み込みしています…,Cargando tema...,Lade Themes...,Caricamento dei temi...,กำลังโหลดธีม
ld_characters,,Preloading characters...,Préchargement des personnages...,Pré-carregando personagens...,キャラクターを読み込みしています…,Pre-cargando personajes...,Lade Charaktere...,Pre-caricamento dei personaggi...,กำลังโหลดตัวละคร
ld_stages,,Preloading stages...,Préchargement des terrains...,Pré-carregando cenários...,ステージを読み込みしています…,Pre-cargando escenarios...,Lade Arenen...,Pre-caricamento degli scenari...,กำลังโหลดด่าน
ld_panels,,Loading panels...,Chargement des blocs...,Carregando painéis...,パネルを読み込みしています…,Cargando paneles...,Lade Panels...,Caricamento delle tessere...,กำลังโหลดพาเนล
ld_analytics,,Loading analytics...,Chargement des statistiques...,Carregando estatísticas...,解析を読み込みしています…,Cargando estadísticas....,Lade Statistikmodul...,Caricamento delle statistiche...,กำลังโหลด analytics
mm_1_endless,,1P endless,1J infini,1J infinito,1P エンドレス,1J interminable,1P Endlos,1P infinito,1P แบบไม่มีจบ
mm_1_puzzle,,1P puzzle,1J puzzle,1J quebra-cabeça,1P パズル,1J Puzzle,1P Puzzle,1P puzzle,1P puzzle
mm_1_time,,1P time attack,1J contre la montre,1J contra o tempo,1P スコアアタック,1J Contrareloj,1P Time Attack,1P a tempo,1P time attack
mm_1_training,Vs training mode,1P training,Formation 1P,treinamento 1P,1P トレーニング,entrenamiento 1P,1P Training,Allenamento 1P,1P ฝึกซ้อม
mm_1_challenge_mode,Challenge Mode,Challenge Mode,Mode Défi,Modo desafio,チャレンジモード,Modo Desafío,Herausforderungsmodus,Modalità sfida,โหมดท้าทาย
mm_1_vs,,1P vs yourself,1J vs soi-même,1J vs você mesmo,1P じぶんとのたたかい,1J vs Tú,1P gegen dich selbst,1P vs te stesso,1P สู้กับตัวเอง
mm_2_vs_local,,2P vs local game,2J vs en local,2J vs jogo local,2P ローカルVS,2J vs partida local,2P lokal,2P vs in locale,2P แข่งกันสองคน บนคอมเครื่องเดียวกัน
mm_2_vs_online,,2P vs online %1,2J vs en ligne %1,2J vs online %1,2P オンラインVS %1,2J vs partida en línea %1,2P online %1,2P vs online %1,2P แข่งกับคนอื่นออนไลน์ %1
mm_2_vs,,2P vs,2J vs,2J vs,2P VS,2J vs,2SP vs,2P vs,2P แข่งกับคนอื่น
mm_configure,,Configure input,Configurer les touches,Configurar teclas,入力コンフィグ,Configurar teclas,Tastenkonfiguration,Configura i tasti,ตั้งค่าปุ่ม
mm_fullscreen,,Fullscreen %1,Plein Écran %1,Tela cheia %1,フルスクリーン %1,Pantalla completa %1,Vollbild %1,Schermo inteto 1%,เต็มจอ %1
mm_music_test,,Music test,Musique test,Teste de música,サウンドテスト,Prueba de música,Musik-Test,Testa la musica,ทดสอบเพลง
mm_no_support_fullscreen,,Your graphics card doesn't support canvases for fullscreen,Votre carte graphique ne supporte pas le plein écran,Sua placa de vídeo não suporta tela cheia,お使いのグラフィックカードはフルスクリーンのキャンバスに対応していません,Tu tarjeta gráfica no soporta bordes en pantalla completa.,Deine Grafikkarte unterstützt keine Vollbildauflösungen.,La tua scheda grafica non supporta la modalità schermo intero.,กราฟฟิคการ์ดของคุณไม่รองรับ canvas สำหรับเล่นเต็มจอ
mm_options,,Options,Options,Opções,オプション,Opciones,Optionen,Opzioni,Options
mm_quit,,Quit,Quitter,Sair,終わる,Salir,Verlassen,Esci,ออก
mm_replay_of,,Replay of %1,Replay de %1,Replay de %1,%1のリプレイ,Ver repetición de %1,Replay von %1,Replay di 1%,รีเพลย์ของ %1
mm_set_name,,Set name,Changer de pseudo,Trocar apelido,ユーザー名設定,Definir nombre,Name festlegen,Imposta il nome,ตั้งชื่อ
nt_ver_err,Shown when connecting to server with wrong version,"Your game version is out of date, DOWNLOAD the latest version of the game from http://panelattack.com","Votre version de jeu est obsolète, téléchargez la dernière version du jeu à partir de http://panelattack.com","Sua versão do jogo está desatualizada, faça o download da versão mais recente do jogo em http://panelattack.com",ゲームバージョンは古くなっています。http://panelatcack.comからゲームの最新バージョンをダウンロードしてください,"Tu versión de juego está desactualizada, descargue la última versión del juego desde http://panelattack.com",Ihre Spielversion ist veraltet und laden Sie die neueste Version des Spiels von http://panelattack.com herunter,"La versione del gioco è obsoleta, scarica l'ultima versione del gioco da http://panelattack.com",เวอร์ชันเกมของคุณล้าสมัยดาวน์โหลดเกมล่าสุดจาก http://panelattack.com
nt_conn_timeout,,Failed to connect to the server.,Impossible de se connecter au serveur.,Falha ao conectar o servidor.,サーバーに接続が失敗しました。,Error al conectarse al servidor.,Es konnte keine Verbindung zum Server hergestellt werden.,Errore di connessione al server.,การเชื่อมต่อกับ server ล้มเหลว
nt_msg_err,,"Network error, message could not be decoded: ""%1""","Erreur réseau, le message ne peut pas être décodé: ""%1""","Erro de conexão, a mensagem não pôde ser codificada: ""%1""","ネットワークエラー、メッセージのデコード失敗: ""%1""","Error de red, el mensaje no pudo ser decodificado: ""%1""",Netzwerkfehler: Die folgende Nachricht konnte nicht entschlüsselt werden: %1,"Errore di network, il messaggio non può essere decodificato: ""%1""","การเชื่อมต่อล้มเหลว ข้อความไม่สามารถถอดรหัสได้: ""%1"""
nt_player_err,,Server did not send number of players.,Le serveur n'a pas envoyé le nombre de joueurs.,O servidor não emitiu nº de jogadores.,サーバーからプレイヤー人数を受信しませんでした。,El servidor no envio la cantidad de jugadores.,Server schickte die Anzahl der Spieler nicht.,Il server non ha inviato il numero di giocatori.,server ไม่ได้แจ้งจำนวนผู้เล่น
op_general,Options: General,General,Général,Em geral,全般的,General,Allgemein,Generale,ทั่วไป
op_graphics,Options: Graphics,Graphics,Graphique,Gráficos,グラフィック,Gráficos,Grafik,Grafica,กราฟฟิค
op_audio,Options: Audio,Audio,l'audio,Áudio.,オーディオ,Audio,Audio,Audio,เสียง
op_debug,Options: Debug,Debug,Déboguer,Depurar,デバッグ,Depurar,Debuggen,Debug.,Debug
op_about,Options: About,About,Sur,Sobre,だいたい,Sobre,Über,Di,เกี่ยวกับ
op_none,,none,rien,Nenhum,無し,Nada,keiner,Niente,ไม่มี
op_on,,On,On,Ativ.,ON,On,An,On,เปิด
op_off,,Off,Off,Desat.,OFF,Off,Aus,Off,ปิด
op_all_keys,,Set all keys,Définir toutes les touches,Definir todas as teclas,すべてのキーを設定する,Definir todas las teclas,Alle Tasten festlegen,Imposta tutti i tasti,ตั้งค่าปุ่มทั้งหมด
op_about_characters,,About custom characters,À propos des personnages personnalisés,Sobre personagens personalizados,カスタムキャラクターについて,Acerca de personajes personalizados,How to: Eigene Charaktere hinzufügen,A propostio dei personaggi personalizzabili,เกี่ยวกับตัวละคร custom
op_about_themes,,About custom themes,À propos des thèmes personnalisés,Sobre temas personalizados,カスタムテーマについて,Acerca de temas personalizados,How to: Eigene Themes entwickeln,A proposito dei temi personalizzabili,เกี่ยวกับ custom themes
op_about_stages,,About custom stages,À propos des terrains personnalisés,Sobre cenários personalizados,カスタムステージについて,Acerca de escenarios personalizados,How to: Eigene Arenen erstellen,A proposito degli scenari personalizzabili,เกี่ยวกับด่าน custom 
op_about_panels,,About custom panels,À propos des blocs personnalisés,Sobre painéis personalizados,カスタムパネルについて,Acerca de paneles personalizados,How to: Eigene Panels kreieren,A propostio delle tessere personalizzabili,เกี่ยวกับ custom panels
op_analytics,,Enable analytics,Activer les statistiques,Ativar estatísticas,解析を有効にする,Habilitar estadísticas,Statistiken aktivieren,Attiva statistiche,เปิด analytics
op_copy_files,,"Hold on.  Copying an example folder to make this easier...


This may take a few seconds or maybe even a minute or two.


Don't worry if the window goes inactive or ""not responding""","Veuillez patientez, nous copions les fichiers exemples.


Cette opération peut prendre quelques secondes à 2 min.


La fenêtre peut devenir inactive et ne plus répondre.","Um momento. Criando uma pasta modelo para facilitar isso...


Isto pode levar alguns segundos ou talvez até um minuto ou dois.


Não se preocupe se a janela ficar inativa ou ""não está respondendo""","しばらくお待ち下さい。
分かりやすくするためにサンプルフォルダをコピーしています...


これには数秒、場合によっては1〜2分かかる可能性があります。


ウィンドウが非アクティブになったり、反応しなくなっても気にしないで下さい。","Un momento. Copiando la carpeta de ejemplo para hacerlo más facil...


Esto tomará algunos segundos o quizás un minuto o dos.


No te preocupes si la ventana se pone inactiva, se bloquea o ""No responde""","Warte einen Moment. Ein Beispielordner wird angelegt, um die Sache einfacher zu machen.

Dies könnte einige Sekunden dauern, möglicherweise aber auch eine bis zwei Minuten.

Wenn das Fenster inaktiv zu sein scheint oder als ""reagiert nicht"" angezeigt wird, ist dies bei dem Prozess völlig normal.","Un momento. Copia di una cartella d'esempio per rendere il tutto più facile...


Ci potrebbe volere qualche secondo, o forse anche un minuto o due.


Non preoccuparti se la finestra diventa inattiva o ""non risponde"".","กรุณารอสักครู่ กำลังคัดลอก example folder เพื่อให้เรื่องง่ายขึ้น

อาจใช้เวลาไม่กี่วินาที หรืออาจจะนานถึง 1-2 นาที

ไม่ต้องตกใจหากหน้าต่างเกิดอาการ ""not responding"""
op_countdown,,Ready countdown,Compte à rebours avant une partie,Contagem regressiva,READYカウントダウン,Cuenta regresiva lista,Ready Countdown,Pronto per il conto alla rovescia,เตรียมพร้อมนับถอยหลัง
op_debug,,Debug Mode,Mode Debug,Modo de Depuração,デバッグモード,Modo Depuración,Debug Modus,Modalità Debug,โหมด debug
op_default_char,,Use default characters,Utiliser les personnages par défaut,Usar personagens padrão,デフォルトのキャラクターを使用,Usar personajes por defecto.,Standardcharaktere verwenden,Usa i personaggi di base,ใช้ตัวละครค่าเริ่มต้น
op_enter_name,,Enter your name:,Entrez votre pseudo :,Digite seu apelido:,ユーザー名を入力して下さい：,Ingresa tu nombre:,Gib deinen Benutzernamen ein:,Inserisci il tuo nome:,กรอกชื่อของคุณ:
op_username_blank_warning,shown in user name input when nothing is entered,Username cannot be blank,Le nom d'utilisateur ne peut pas être vide,O nome de usuário não pode ficar em branco,ユーザー名を空白にすることはできません,Nombre de usuario no puede estar en blanco,Benutzername darf nicht leer sein,Il nome utente non può essere vuoto
op_fps,,Show FPS,Afficher les FPS,Mostrar FPS,FPS表示,Mostrar FPS (cuadros por segundo),FPS anzeigen,Mostra FPS (frame al secondo),แสดง FPS
op_language,,Language,Langue,Idioma,言語,Idioma,Sprache,Lingua,ภาษา
op_theme,,Theme,Thème,Tema,テーマ,Tema,Theme,Tema,ธีม
op_scale,Setting that controls how much the game is scaled (resolution),Game Scale,Échelle de jeu,Escala de jogo,ゲームスケール,Escala de juego,Spielskala,Scala del gioco,เสกลหน้าจอเกม
op_scale_auto,The scale type that snaps to the best scale for the current window size,Automatic,Automatique,Automático,自動,Automático,Automatisch,Automatico,อัตโนมัติ
op_scale_fit,The scale type that fits the graphics as big as they can be to the window,Fit to Window,Ajuster à la fenêtre,Adequado à janela,ウィンドウにフィットします,Encaja en la ventana,An Fenster anpassen,Adatta alla finestra,พอดีขนาด Window
op_scale_fixed,The scale type that uses a fixed scale value no matter what,Fixed Scale,Échelle fixe,Escala fixa,固定スケール,Escala fija,Feste Skala,Scala fissa,เสกลคงที่
op_scale_fixed_value,The setting for the picked scale value in fixed mode,Fixed Scale,Échelle fixe,Escala fixa,固定スケール,Escala fija,Feste Skala,Scala fissa,เสกลคงที่
op_ingame_infos,,Show informations during gameplay,Afficher les données pendant la partie,Mostrar informações durante partida,プレイ中情報表示,Mostrar información durante la partida,Informationen während des Spiels anzeigen,Mostra informazioni nel corso della partita,แสดงข้อมูลระหว่างเล่น
op_use_music_from,,Use music from,Utiliser les musiques des,Usar música de,使用BGM,Usar música desde,Musikauswahl,Usa musica da,ใช้เพลงจาก
op_only_stage,,Stage 100% | Character 0%,Terrain 100% | Personnage 0%,Cenário 100% | Personagens 0%,ステージ 100% | キャラクター  0%,Escenario 100% | Personaje 0%,Arena 100% | Charakter 0%,Scenario 100% | Personaggio 0%,Stage 100% | Character 0%
op_often_stage,,Stage 75% | Character 25%,Terrain 75% | Personnage 25%,Cenário 75% | Personagens 25%,ステージ 75% | キャラクター  25%,Escenario 75% | Personaje 25%,Arena 75% | Charakter 25%,Scenario 75% | Personaggio 25%,Stage 75% | Character 25%
op_stage_characters,,Stage 50% | Character 50%,Terrain 50% | Personnage 50%,Cenário 50% | Personagens 50%,ステージ 50% | キャラクター  50%,Escenario 50% | Personaje 50%,Arena 50% | Charakter 50%,Scenario 50% | Personaggio 50%,Stage 50% | Character 50%
op_often_characters,,Stage 25% | Character 75%,Terrain 25% | Personnage 75%,Cenário 25% | Personagens 75%,ステージ 25% | キャラクター  75%,Escenario 25% | Personaje 75%,Arena 25% | Charakter 75%,Scenario 25% | Personaggio 75%,Stage 25% | Character 75%
op_only_characters,,Stage 0% | Character 100%,Terrain 0% | Personnage 100%,Cenário 0% | Personagens 100%,ステージ 0% | キャラクター  100%,Escenario 0% | Personaje 100%,Arena 0% | Charakter 100%,Scenario 0% | Personaggio 100%,Stage 0% | Character 100%
op_music_current,,Currently playing:,Music actuel :,Reproduzindo agora:,現在再生中：,Música actual:,Aktuelle Musik:,Musica in riproduzone:,กำลังเล่น:
op_music_delay,,Danger music change-back delay,Délai du changement de la musique en mode danger,Atraso na mudança de música de perigo,ピンチBGM切り替えディレイ,Retrasar cambio de melodía de peligro,Verzögerung für die Rückkehr aus der Gefahrenmusik,Ritardo del cambiamento della musica di pericolo,ดีเลย์ระหว่างเปลี่ยนเพลง (จากเพลงอันตราย เป็นเพลงปกติ)
op_music_intro,,Playing the intro,Joue l'intro,Reproduzindo introdução,イントロ表示,Reproduciendo la intro,Intro wird abgespielt,Riproduci la intro,กำลังเล่น intro
op_music_load,,Loading required sounds... (this may take a while),Chargement des sons nécessaires... (cela peut prendre un certain temps),Carregando sons necessários ... (isso pode demorar um pouco),必要なサウンドを読み込みしています...（多少時間がかかるかも）,Cargando los sonidos requeridos...(esto tomará un momento),Benötigte Sounds werden geladen... (das könnte einige Zeit dauern),Caricamento dei suoni necessari (ci potrebbe volere un po'...),กำลังโหลดไฟล์เสียงที่จำเป็น (ต้องใช้เวลาสักพัก)
op_music_loop,,Playing main loop,Joue la boucle,Reproduzindo loop principal,メインループを再生しています,Reproduciendo bucle principal,Hauptthema wird abgespielt,Riproduzione del loop principale,กำลังเล่น main loop
op_music_nav,,"%1 and %2 to navigate songs
%3 to leave","%1 et %2 pour naviguer entre les musiques
%3 pour quitter","%1 e %2 para navegar pelas músicas
%3 para sair","%1と%2で曲を選択
%3で戻る","%1 y %2 para navegar entre melodías
%3 para salir","Nutze %1 und %2 um zwischen Liedern zu navigieren und %3, um das Menü zu verlassen","%1 e %2 per navigare tra le canzoni
%3 per uscire","%1 และ %2 เพื่อกรอเพลง
%3 เพื่อออก"
